Mb_Opcine,Geo_FIPS,name_bos,name_hrv,name_srb,name_eng,type_bos,type_hrv,type_srb,type_eng,parent_bos,parent_hrv,parent_srb,parent_eng
20435,20435,Oštra Luka,Oštra Luka,Оштра Лука,Oštra Luka,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20443,20443,Pale - RS,Pale - RS,Пале - РС,Pale - RS,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20451,20451,Pelagićevo,Pelagićevo,Пелагићево,Pelagićevo,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20460,20460,Petrovac,Petrovac,Петровац,Petrovac,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20478,20478,Petrovo,Petrovo,Петрово,Petrovo,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20486,20486,Prijedor,Prijedor,Приједор,Prijedor,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20494,20494,Prnjavor,Prnjavor,Прњавор,Prnjavor,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20508,20508,Ribnik,Ribnik,Рибник,Ribnik,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20516,20516,Rogatica,Rogatica,Рогатица,Rogatica,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20524,20524,Rudo,Rudo,Рудо,Rudo,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20532,20532,Sokolac,Sokolac,Соколац,Sokolac,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20559,20559,Srbac,Srbac,Србац,Srbac,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20567,20567,Srebrenica,Srebrenica,Сребреница,Srebrenica,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20575,20575,Teslić,Teslić,Теслић,Teslić,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20583,20583,Trebinje,Trebinje,Требиње,Trebinje,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20591,20591,Trnovo - RS,Trnovo - RS,Трново - РС,Trnovo - RS,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20605,20605,Ugljevik,Ugljevik,Угљевик,Ugljevik,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20613,20613,Foča - RS,Foča - RS,Фоча - РС,Foča - RS,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20621,20621,Han Pijesak,Han Pijesak,Хан Пијесак,Han Pijesak,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20630,20630,Čajniče,Čajniče,Чајниче,Čajniče,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20648,20648,Čelinac,Čelinac,Челинац,Čelinac,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20656,20656,Šamac,Šamac,Шамац,Šamac,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20664,20664,Šekovići,Šekovići,Шековићи,Šekovići,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20672,20672,Šipovo,Šipovo,Шипово,Šipovo,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
30163,30163,Brčko,Brčko,Брчко,Brčko,Općina,Općina,Општина,Municipality,BD,BD,БД,BD
