ID, ID2, Geo_FIPS, Geo_Qname, DN
3077442, BFA, BFA, Burkina Faso, WAF-FRA
3077443, BFA, BFA, Burkina Faso, WAF-FRA
3077444, BFA, BFA, Burkina Faso, WAF-FRA
3077445, BFA, BFA, Burkina Faso, WAF-FRA
3077446, BFA, BFA, Burkina Faso, WAF-FRA
3077447, BFA, BFA, Burkina Faso, WAF-FRA
3077448, BFA, BFA, Burkina Faso, WAF-FRA
3077449, BFA, BFA, Burkina Faso, WAF-FRA
3077450, BFA, BFA, Burkina Faso, WAF-FRA
3077451, BFA, BFA, Burkina Faso, WAF-FRA
3077452, BFA, BFA, Burkina Faso, WAF-FRA
3077453, BFA, BFA, Burkina Faso, WAF-FRA
3077454, BFA, BFA, Burkina Faso, WAF-FRA
3077455, BFA, BFA, Burkina Faso, WAF-FRA
3077456, BFA, BFA, Burkina Faso, WAF-FRA
3077457, BFA, BFA, Burkina Faso, WAF-FRA
3077458, BFA, BFA, Burkina Faso, WAF-FRA
3077459, BFA, BFA, Burkina Faso, WAF-FRA
3077460, BFA, BFA, Burkina Faso, WAF-FRA
3077461, BFA, BFA, Burkina Faso, WAF-FRA
3077462, BFA, BFA, Burkina Faso, WAF-FRA
3077463, BFA, BFA, Burkina Faso, WAF-FRA
3077464, BFA, BFA, Burkina Faso, WAF-FRA
3077465, BFA, BFA, Burkina Faso, WAF-FRA
3077466, BFA, BFA, Burkina Faso, WAF-FRA
3077467, BFA, BFA, Burkina Faso, WAF-FRA
3077468, BFA, BFA, Burkina Faso, WAF-FRA
3077469, BFA, BFA, Burkina Faso, WAF-FRA
3077470, BFA, BFA, Burkina Faso, WAF-FRA
3077471, BFA, BFA, Burkina Faso, WAF-FRA
3077472, BGD, BGD, Bangladesh, IND-GBR
3077473, BGD, BGD, Bangladesh, IND-GBR
3077475, BGD, BGD, Bangladesh, IND-GBR
3077477, BGD, BGD, Bangladesh, IND-GBR
3077478, BGR, BGR, Bulgaria, ROU
3077479, BGR, BGR, Bulgaria, BGR
3077480, BGR, BGR, Bulgaria, BGR
3077481, BGR, BGR, Bulgaria, BGR
3077482, BGR, BGR, Bulgaria, BGR
3077483, BGR, BGR, Bulgaria, BGR
3077484, BGR, BGR, Bulgaria, BGR
3077485, BGR, BGR, Bulgaria, BGR
3077486, BGR, BGR, Bulgaria, ROU
3077487, BGR, BGR, Bulgaria, BGR
3077488, BGR, BGR, Bulgaria, BGR
3077489, BGR, BGR, Bulgaria, BGR
3077490, BGR, BGR, Bulgaria, BGR
3077491, BGR, BGR, Bulgaria, BGR
3077492, BHR, BHR, Bahrain, BHR-GBR
3077493, BHR, BHR, Bahrain, BHR-GBR
3077494, BHR, BHR, Bahrain, BHR-GBR
3077495, BHR, BHR, Bahrain, BHR-GBR
3077496, BHR, BHR, Bahrain, BHR-GBR
3077497, BHS, BHS, Bahamas, BHS
3077498, BHS, BHS, Bahamas, BHS
3077499, BHS, BHS, Bahamas, BHS
3077500, BHS, BHS, Bahamas, BHS
3077501, BHS, BHS, Bahamas, BHS
3077502, BHS, BHS, Bahamas, BHS
3077503, BHS, BHS, Bahamas, BHS
3077504, BHS, BHS, Bahamas, BHS
3077505, BHS, BHS, Bahamas, BHS
3077506, BHS, BHS, Bahamas, BHS
3077507, BHS, BHS, Bahamas, BHS
3077508, BHS, BHS, Bahamas, BHS
3077509, BHS, BHS, Bahamas, BHS
3077510, BHS, BHS, Bahamas, BHS
3077511, BHS, BHS, Bahamas, BHS
3077512, BHS, BHS, Bahamas, BHS
3077513, BHS, BHS, Bahamas, BHS
3077514, BHS, BHS, Bahamas, BHS
3077515, BHS, BHS, Bahamas, BHS
3077516, BHS, BHS, Bahamas, BHS
3077517, BHS, BHS, Bahamas, BHS
3077518, BHS, BHS, Bahamas, BHS
3077519, BHS, BHS, Bahamas, BHS
3077520, BHS, BHS, Bahamas, BHS
3077521, BHS, BHS, Bahamas, BHS
3077522, BHS, BHS, Bahamas, BHS
3077523, BHS, BHS, Bahamas, BHS
3077524, BHS, BHS, Bahamas, BHS
3077525, BHS, BHS, Bahamas, BHS
3077526, BHS, BHS, Bahamas, BHS
3077527, BHS, BHS, Bahamas, BHS
3077528, BHS, BHS, Bahamas, BHS
3077529, BIH, BIH, Bosnia and Herzegovina, AUH
3077530, BIH, BIH, Bosnia and Herzegovina, AUH
3077531, BLZ, BLZ, Belize, BLZ
3077532, BLZ, BLZ, Belize, BLZ
3077533, BLZ, BLZ, Belize, BLZ
3077534, BLZ, BLZ, Belize, BLZ
3077535, BLZ, BLZ, Belize, BLZ
3077536, BLZ, BLZ, Belize, BLZ
3077537, BMU, BMU, Bermuda, BMU
3077538, BMU, BMU, Bermuda, BMU
3077539, BMU, BMU, Bermuda, BMU
3077540, BMU, BMU, Bermuda, BMU
3077541, BMU, BMU, Bermuda, BMU
3077542, BMU, BMU, Bermuda, BMU
3077543, BMU, BMU, Bermuda, BMU
3077544, BMU, BMU, Bermuda, BMU
3077545, BMU, BMU, Bermuda, BMU
3077546, BMU, BMU, Bermuda, BMU
3077547, BMU, BMU, Bermuda, BMU
3077548, BOL, BOL, Bolivia, BOL
3077549, BOL, BOL, Bolivia, BOL
3077552, BOL, BOL, Bolivia, BOL
3077554, BOL, BOL, Bolivia, BOL
3077556, BOL, BOL, Bolivia, BOL
3077561, BRA, BRA, Brazil, BRA
3077562, BRA, BRA, Brazil, BRA
3077563, BRA, BRA, Brazil, BRA
3077570, BRA, BRA, Brazil, BRA
3077573, BRA, BRA, Brazil, BRA
3077574, BRA, BRA, Brazil, BRA
3077575, BRA, BRA, Brazil, BRA
3077576, BRA, BRA, Brazil, BRA
3077579, BRA, BRA, Brazil, BRA
3077583, BRB, BRB, Barbados, BRB
3077584, BRB, BRB, Barbados, BRB
3077585, BRB, BRB, Barbados, BRB
3077586, BRB, BRB, Barbados, BRB
3077587, BRB, BRB, Barbados, BRB
3077588, BRB, BRB, Barbados, BRB
3077589, BRB, BRB, Barbados, BRB
3077590, BRB, BRB, Barbados, BRB
3077591, BRB, BRB, Barbados, BRB
3077592, BRB, BRB, Barbados, BRB
3077593, BRB, BRB, Barbados, BRB
3077594, BRN, BRN, Brunei, MYS-GBR
3077595, BRN, BRN, Brunei, MYS-GBR
3077596, BRN, BRN, Brunei, MYS-GBR
3077597, BRN, BRN, Brunei, MYS-GBR
3077598, BTN, BTN, Bhutan, BTN
3077599, BTN, BTN, Bhutan, BTN
3077600, BTN, BTN, Bhutan, BTN
3077601, BTN, BTN, Bhutan, BTN
3077602, BTN, BTN, Bhutan, BTN
3077603, BTN, BTN, Bhutan, BTN
3077604, BTN, BTN, Bhutan, BTN
3077605, BTN, BTN, Bhutan, BTN
3077606, BTN, BTN, Bhutan, BTN
3077607, BTN, BTN, Bhutan, BTN
3077608, BTN, BTN, Bhutan, BTN
3077609, BTN, BTN, Bhutan, BTN
3077610, BTN, BTN, Bhutan, BTN
3077611, BTN, BTN, Bhutan, BTN
3077612, BTN, BTN, Bhutan, BTN
3077613, BTN, BTN, Bhutan, BTN
3077614, BTN, BTN, Bhutan, BTN
3077615, BTN, BTN, Bhutan, BTN
3077616, BTN, BTN, Bhutan, BTN
3077617, BTN, BTN, Bhutan, BTN
3077618, BWA, BWA, Botswana, RHO-GBR
3077619, BWA, BWA, Botswana, RHO-GBR
3077620, BWA, BWA, Botswana, RHO-GBR
3077621, BWA, BWA, Botswana, RHO-GBR
3077622, BWA, BWA, Botswana, RHO-GBR
3077623, BWA, BWA, Botswana, RHO-GBR
3077625, BWA, BWA, Botswana, RHO-GBR
3077626, BWA, BWA, Botswana, RHO-GBR
3077628, CAF, CAF, Central African Republic, WAF-FRA
3077629, CAF, CAF, Central African Republic, WAF-FRA
3077631, CAF, CAF, Central African Republic, WAF-GER
3077632, CAF, CAF, Central African Republic, WAF-FRA
3077636, CAN, CAN, Canada, CAN
3077638, CAN, CAN, Canada, CAN
3077641, CAN, CAN, Canada, CAN
3077644, CHE, CHE, Switzerland, CHE
3077645, CHE, CHE, Switzerland, CHE
3077646, CHE, CHE, Switzerland, CHE
3077647, CHE, CHE, Switzerland, CHE
3077648, CHE, CHE, Switzerland, CHE
3077649, CHE, CHE, Switzerland, CHE
3077650, CHE, CHE, Switzerland, CHE
3077651, CHE, CHE, Switzerland, CHE
3077652, CHE, CHE, Switzerland, CHE
3077653, CHE, CHE, Switzerland, CHE
3077654, CHE, CHE, Switzerland, CHE
3077655, CHE, CHE, Switzerland, CHE
3077656, CHE, CHE, Switzerland, CHE
3077657, CHE, CHE, Switzerland, CHE
3077658, CHE, CHE, Switzerland, CHE
3077659, CHE, CHE, Switzerland, CHE
3077660, CHE, CHE, Switzerland, CHE
