"id","country","city","name","state","zipcode","date","gname","gaddress","website"
"63","usa","ridgecrest","cerro coso cmty college","ca","93555","8/23/2017","Cerro Coso Community College","3000 College Heights Blvd, Ridgecrest, CA 93555, USA","https://www.cerrocoso.edu/"
"64","usa","huntington","marshall university","wv","25755-0001","8/23/2017","Marshall University","1 John Marshall Dr, Huntington, WV 25755, USA","http://www.marshall.edu/"
"65","usa","louisville","university of louisville","ky","40292","8/23/2017","University of Louisville","2301 S 3rd St, Louisville, KY 40292, USA","http://louisville.edu/"
"66","usa","cleburn","hills college - cleburne","tx","76033","8/23/2017","Hill College","209 W Westhill Dr, Cleburne, TX 76033, USA","http://hillcollege.edu/"
"67","usa","troy","troy univ - main campus","al","36082","8/23/2017","Troy University","600 University Ave, Troy, AL 36082, USA","http://www.troy.edu/"
"68","usa","springfield","ozarks tech comm college","mo","65802","8/23/2017","Ozarks Technical Community College","1001 E Chestnut Expy, Springfield, MO 65802, USA","http://www.otc.edu/"
"69","usa","stockton","san joaquin delta college","ca","95207","8/23/2017","San Joaquin Delta College","5151 Pacific Ave, Stockton, CA 95207, USA","http://www.deltacollege.edu/"
"70","usa","fullerton","cal state u - fullerton","ca","92831","8/23/2017","College of Education at California State University Fullerton","2600 Nutwood Ave, Fullerton, CA 92831, USA","http://ed.fullerton.edu/"
"71","usa","kirksville","truman state university","mo","63501-4200","8/23/2017","Truman State University","100 E Normal St, Kirksville, MO 63501, USA","http://www.truman.edu/"
"72","usa","phoenix","phoenix college","az","85013","8/23/2017","Phoenix College","1202 W Thomas Rd, Phoenix, AZ 85013, USA","http://www.phoenixcollege.edu/"
"73","usa","sacramento","american river college","ca","95841","8/23/2017","American River College","4700 College Oak Dr, Sacramento, CA 95841, USA","http://www.arc.losrios.edu/"
"74","usa","houston","univ of houston","tx","77004","8/23/2017","University of Houston","4800 Calhoun Rd, Houston, TX 77004, USA","http://www.uh.edu/"
"75","usa","pullman","washington state university","wa","99164","8/23/2017","Washington State University Veterinary Teaching Hospital","205 Ott Rd #1002, Pullman, WA 99164, USA","http://vth.vetmed.wsu.edu/"
"76","usa","charlottesville","university of virginia","va","22904","8/23/2017","University of Virginia Dining","525 McCormick Rd, Charlottesville, VA 22904, USA","http://www.virginia.edu/"
