ID,ISO,Name,NEWISO,NEWNAME,ISOCOLONY,COLONYNAME,SIDE1,SIDE2
3077232,ALA,Aland,RUS,Russia,,,,
3077233,ALB,Albania,ALB,Albania,-,,-,-
3077234,ALB,Albania,ALB,Albania,-,,-,-
3077235,ALB,Albania,ALB,Albania,-,,-,-
3077236,ALB,Albania,ALB,Albania,-,,-,-
3077237,ALB,Albania,ALB,Albania,-,,-,-
3077238,ALB,Albania,ALB,Albania,-,,-,-
3077239,ALB,Albania,ALB,Albania,-,,-,-
3077240,ALB,Albania,ALB,Albania,-,,-,-
3077241,ALB,Albania,ALB,Albania,-,,-,-
3077242,ALB,Albania,ALB,Albania,-,,-,-
3077243,ALB,Albania,ALB,Albania,-,,-,-
3077244,ALB,Albania,ALB,Albania,-,,-,-
3077245,AND,Andorra,AND,Andorra,,,,
3077246,AND,Andorra,AND,Andorra,,,,
3077247,AND,Andorra,AND,Andorra,,,,
3077248,AND,Andorra,AND,Andorra,,,,
3077249,AND,Andorra,AND,Andorra,,,,
3077250,AND,Andorra,AND,Andorra,,,,
3077251,AND,Andorra,AND,Andorra,,,,
3077252,ANT,Netherlands Antilles,ANT,Netherlands Antilles,,,,
3077253,ANT,Netherlands Antilles,ANT,Netherlands Antilles,,,,
3077254,ANT,Netherlands Antilles,ANT,Netherlands Antilles,,,,
3077255,ANT,Netherlands Antilles,ANT,Netherlands Antilles,,,,
3077256,ANT,Netherlands Antilles,ANT,Netherlands Antilles,,,,
3077257,ARE,United Arab Emirates,OMN-UK,Oman (UK),UK,United Kingdom,OMN,UK
3077258,ARE,United Arab Emirates,OMN-UK,Oman (UK),UK,United Kingdom,OMN,UK
3077259,ARE,United Arab Emirates,OMN-UK,Oman (UK),UK,United Kingdom,OMN,UK
3077260,ARE,United Arab Emirates,OMN-UK,Oman (UK),UK,United Kingdom,OMN,UK
3077261,ARE,United Arab Emirates,OMN-UK,Oman (UK),UK,United Kingdom,OMN,UK
3077262,ARE,United Arab Emirates,OMN-UK,Oman (UK),UK,United Kingdom,OMN,UK
3077263,ARE,United Arab Emirates,OMN-UK,Oman (UK),UK,United Kingdom,OMN,UK
3077265,ARG,Argentina,ARG,Argentina,,,,
3077267,ARG,Argentina,ARG,Argentina,,,,
3077268,ARG,Argentina,ARG,Argentina,,,,
3077269,ARG,Argentina,ARG,Argentina,,,,
3077273,ARG,Argentina,ARG,Argentina,,,,
3077274,ARG,Argentina,ARG,Argentina,,,,
3077275,ARG,Argentina,ARG,Argentina,,,,
3077276,ARG,Argentina,ARG,Argentina,,,,
3077278,ARG,Argentina,ARG,Argentina,,,,
3077279,ARG,Argentina,ARG,Argentina,,,,
3077280,ARG,Argentina,ARG,Argentina,,,,
3077281,ARG,Argentina,ARG,Argentina,,,,
3077282,ARG,Argentina,ARG,Argentina,,,,
3077283,ARG,Argentina,ARG,Argentina,,,,
3077285,ARG,Argentina,ARG,Argentina,,,,
3077286,ARG,Argentina,ARG,Argentina,,,,
3077287,ARG,Argentina,ARG,Argentina,,,,
3077288,ARM,Armenia,RUS,Russia,,,,
