ID,ISO,NAME_0,HASC_1,ISONEW,Colony
12256,ATG,Antigua and Barbuda,AG.PE,ATG,ATG
12257,ATG,Antigua and Barbuda,AG.PH,ATG,ATG
12258,AUS,Australia,AU.AS,AUS,AUS
12259,AUS,Australia,AU.CT,AUS,AUS
12260,AUS,Australia,AU.CR,AUS,AUS
12261,AUS,Australia,AU.NS,AUS,AUS
12262,AUS,Australia,AU.NT,AUS,AUS
12263,AUS,Australia,AU.QL,AUS,AUS
12264,AUS,Australia,AU.SA,AUS,AUS
12265,AUS,Australia,AU.TS,AUS,AUS
12266,AUS,Australia,AU.TS,AUS,AUS
12267,AUS,Australia,AU.VI,AUS,AUS
12268,AUS,Australia,AU.WA,AUS,AUS
12269,AUT,Austria,AT.BU,AUT,AUT
12271,AUT,Austria,AT.NO,AUT,AUT
12272,AUT,Austria,AT.OO,AUT,AUT
12275,AUT,Austria,AT.TR,AUT,AUT
12276,AUT,Austria,AT.VO,AUT,AUT
12277,AUT,Austria,AT.WI,AUT,AUT
12278,AZE,Azerbaijan,AZ.AR,AZE,AZE
12279,AZE,Azerbaijan,AZ.AC,AZE,AZE
12280,AZE,Azerbaijan,AZ.AM,AZE,AZE
12281,AZE,Azerbaijan,AZ.AS,AZE,AZE
12282,AZE,Azerbaijan,AZ.AF,AZE,AZE
12283,AZE,Azerbaijan,AZ.AU,AZE,AZE
12284,AZE,Azerbaijan,AZ.AA,AZE,AZE
12285,AZE,Azerbaijan,AZ.BB,AZE,AZE
12286,AZE,Azerbaijan,AZ.BA,AZE,AZE
12287,AZE,Azerbaijan,AZ.BL,AZE,AZE
12288,AZE,Azerbaijan,AZ.BR,AZE,AZE
12289,AZE,Azerbaijan,AZ.BQ,AZE,AZE
12290,AZE,Azerbaijan,AZ.BS,AZE,AZE
12291,AZE,Azerbaijan,AZ.CB,AZE,AZE
12292,AZE,Azerbaijan,AZ.CL,AZE,AZE
12293,AZE,Azerbaijan,AZ.CF,AZE,AZE
12294,AZE,Azerbaijan,AZ.DS,AZE,AZE
12295,AZE,Azerbaijan,AZ.DV,AZE,AZE
12296,AZE,Azerbaijan,AZ.AB,AZE,AZE
12297,AZE,Azerbaijan,AZ.FU,AZE,AZE
12298,AZE,Azerbaijan,AZ.GD,AZE,AZE
12299,AZE,Azerbaijan,AZ.GA,AZE,AZE
12300,AZE,Azerbaijan,AZ.GR,AZE,AZE
12301,AZE,Azerbaijan,AZ.GY,AZE,AZE
12302,AZE,Azerbaijan,AZ.HA,AZE,AZE
12303,AZE,Azerbaijan,AZ.IM,AZE,AZE
12304,AZE,Azerbaijan,AZ.IS,AZE,AZE
12305,AZE,Azerbaijan,AZ.KA,AZE,AZE
12306,AZE,Azerbaijan,AZ.KU,AZE,AZE
12307,AZE,Azerbaijan,AZ.LN,AZE,AZE
12308,AZE,Azerbaijan,AZ.LE,AZE,AZE
12309,AZE,Azerbaijan,AZ.MA,AZE,AZE
12310,AZE,Azerbaijan,AZ.MI,AZE,AZE
12311,AZE,Azerbaijan,AZ.NX,AZE,AZE
12312,AZE,Azerbaijan,AZ.NE,AZE,AZE
12313,AZE,Azerbaijan,AZ.OG,AZE,AZE
12314,AZE,Azerbaijan,AZ.OR,AZE,AZE
12315,AZE,Azerbaijan,AZ.QX,AZE,AZE
12316,AZE,Azerbaijan,AZ.QZ,AZE,AZE
12317,AZE,Azerbaijan,AZ.QA,AZE,AZE
12318,AZE,Azerbaijan,AZ.QO,AZE,AZE
12319,AZE,Azerbaijan,AZ.QB,AZE,AZE
12320,AZE,Azerbaijan,AZ.QD,AZE,AZE
12321,AZE,Azerbaijan,AZ.QR,AZE,AZE
12322,AZE,Azerbaijan,AZ.ST,AZE,AZE
12323,AZE,Azerbaijan,AZ.SB,AZE,AZE
12324,AZE,Azerbaijan,AZ.SH,AZE,AZE
12325,AZE,Azerbaijan,AZ.SL,AZE,AZE
12326,AZE,Azerbaijan,AZ.SI,AZE,AZE
12327,AZE,Azerbaijan,AZ.SX,AZE,AZE
12328,AZE,Azerbaijan,AZ.SD,AZE,AZE
