id,vendors,name,city,website,fb_link,bike_brands,prodaja,servis,rent,note,eq_brands
ChIJwRaaVQ4DXkcRRTa-oZfEaYs,sokovicsport,Soković Sport,Banja Luka,https://www.sokovicsport.ba/,https://www.facebook.com/sokovicsport.ba/,"NAKITA, CUBE, POLAR, CROSS, ULTRA, STRIDA",1,1,0,," ALPINA, ASHIMA, CAMELBAK, CATEYE, CINZIA, CONTINENTAL, CROSS, Crosser,  CST, CUBE, DALBELLO, DARE 2b, E-BIKE, ELITE, FORCE, GBT, JAGWIRE, KENDA,KMC, MARWI,  POLISPORT, PROWHEEL, RFR, Rie:Sel, ROCES, ROSSIGNOL, SAN MARCO, SCOTT, SELLE MONTE GRAPPA, SHIMANO, SIXTEAM,  SRAM,  SUNTOUR, SYNCROS,  UNION, UVEX, VELO, VITTORIA, WTB, XLC, ZEFAL, ULTRA"
ChIJWdWB9cTXZUcR41Ra0Ve4E1Q,spinsport,SPIN SPORT,Zagreb,http://www.spinsport.hr/,https://www.facebook.com/SpinSport.Zagreb/,"Santa Cruz bicycles, Juliana bicycles",1,1,0,,
ChIJ5-g5BYahZEcRiR3cXnb7KQw,sportbikerijeka,Sport Bike Bicikli Čavle Rijeka,Čavle,http://www.sportbike.hr/,https://www.facebook.com/SportBikeCavle/,"Scott, Haibike,  Torpado, Dema, Nakxus, Giant, Cincia, Orbea",1,1,1,,"Byte, Continental, CST, Duro, Geax, kenda, Maxxis, Michelin, Schwalbe, Vittoria, SRAM, Shimano, Hayes, Promax, Jagwire, Zoom, KMC, YBN, Acor, Mighty, XLC, VP Components, Ergotec, Giant, Cube, Monte Grappa, Selle Italia ,Selle Royal, Velo, FSA, Da Bomb, Cannondale, Sigma, Giyo, Zefal, Thule"
ChIJ783Jd8VvWkcRf8LzO9VD-Ns,sportofis,Sportofis,Beograd,http://www.sportofis.com/,https://www.facebook.com/sportofis/,,1,1,0,"ne prodadju bicikla samo dijelove i opremu, i imaju servis","Force, Look, A-HEAD "
,sportshopbanjaluka,SPORT-SHOP ,Banja Luka,http://sportshopbl.net/,https://www.facebook.com/sportshopshimano/,"Scott, Cannondale, Alpina, Polar",1,1,0,,"Scott, Shimano, RITCHEY, SYNCROS, Northwave, Uvex"
ChIJm9MYm-xwWkcRCUufTRVdCYA,sunnyrs,Sunny Bike&Ski,Beograd,http://www.sunny.rs/,https://www.facebook.com/SunnyBike/,"Alpina, Polar, Booster",1,1,0,,"Shimano, Cateye, Zefal, Elite, Kenda"
ChIJHWDk2Qu_REcRCTi4ww8EvCc,tehnoguma,Tehnoguma-Promet,Severno-banatski county,,,,,,,BRISATI,
ChIJecfxpiDrTRMRAmJBEDniUSs,tempocg,Tempo,Podgorica,http://www.tempo.co.me/,https://www.facebook.com/tempocitykvart/,"Fast, Booster, Alpina,Polar, Scott, Cinzia, Jumpertrek",1,1,1,,"Alpina, Bellelli, CatEye, Cinzia, Continental, DT Swiss, Electra, Elite , Hao Tu, Jagwire,  Kenda, Menabo, Polar, Polisport, Prowheel, Schwalbe, Scott, Selle Montegrappa, Selle Royal, Syncros, Zefal
"
ChIJhbHXsK7nXEcRHj1VojxPdJM,tomoshr,Tom.Os,Osijek,http://www.tomos.hr/,https://www.facebook.com/TomOSijek/,"Felt, Cruiser, Pasarela, Capriolo, Jasmin, Balaton",1,1,0,,
ChIJu62wQs9mQ0cRZKl7heejlOQ,totalbike,TotalBike.rs,Subotica,http://www.totalbike.rs/,https://www.facebook.com/pg/totalbike/about/?ref=page_internal,"Capriolo, Adria, Cube, Merida",1,1,0,,"Shimano, CN, Truvativ, KryptonX, Sram, Wellgo, Feimin, VP Components, KMC, Velosteel, Mavic, Novatec, Mitas-Rubena, Michelin, Wanda Tyre, 
Zipp, Slime, Power, Tour de France, Avid, Promax, Logan, Tektro, Capriolo, DDK, Selle Monte Grappa, Selle Royal, SR Suntour, Rock Shox, Logan, Prowell, Bonin, Bellelli,  Sigma, Garmin, ABAC
"
ChIJPYkcg23JWEcRlf92JQqlY4U,trekbikebhpromo,Trek Bike Center,Sarajevo,http://www.bicikla.ba/,https://www.facebook.com/trekbikecentarsarajevo/,,,,,PRESKOCI,
ChIJtTX69xTJWEcRFEPQfJdvMcI,unis,UNIS,Sarajevo,http://www.bicycles.unis.ba/,https://www.facebook.com/Unis-bicikli-sarajevo-137347676433954/,,,,,PRESKOCI,
ChIJsRBOVSMQW0cRoJzBhq0lpx4,vector,Vector,Novi Sad,http://www.vector-bikes.com/prodaja,,"Vector, Kellys, Capriolo, Cross",1,1,0,,
ChIJ6ctov04QW0cRkyWzMVpUHao,vector,Vector,Novi Sad,http://www.vector-bikes.com/prodaja,,"Vector, Kellys, Capriolo, Cross",1,1,0,,
ChIJZykqUaUUUEcRCtbRJ0jrXsg,zlatnitocak,Zlatni Tocak,Južno-banatski okrug,http://www.zlatnitocak.rs/,https://www.facebook.com/Zlatni-Tocak-Bike-Fitnes-Shop-303475516354060/," Scott, Kettler, Polar, Alpina, Capriolo",1,1,1,,"Adjoin, Adria, Alpina, ARC, Avid, Baradine, Bellelli , Bergamont, Body Sculpture, Booster, Camelbak , Campagnolo , Cannondale, Capriolo, Cateye, Cober, Continental , Corratec, Cross, CST, Deuter, DSI, Dynamix, e-bIKE, Elite, EyeLevel, fizik, Garmin, Giant, Giyo, GoPro, Grand Star, Gym Fit, Jagwire, Kenda, Kettler, LaPlaya, Le Tour de France , Luma, Menabo, Merida, Michelin, Mitas Rubena, Nortwave, O-GNS, Polar, Polisport, Power, Profex, PROMAX, Prowell, Relax, Ring Sport , Ritchey, Rock Shox, RST, Schwalbe, Scott, Scout, Selle Bassano, Selle Montegrappa, Selle Royal, Shimano , Sigma, SKS, Sport 2000, Sram, Suntour, Syncros, TDF, Thema sport, Tour de France, Tranz X, Trelock, Truvativ, Uvex, VB-1, Velo, VeneraBike, Weldtite, Yueni, Zefal, ZOO,Mavic, Rithey, Schwalbe, Continental, Cateye, Sigma, Body Sculpture"
