id,country,city,name,institution_stat,zipcode,date
254,usa,berea,baldwin wallace college,oh,44017-2005,8/23/2017
255,usa,hickory,lenoir rhyne university,nc,28601,8/23/2017
256,usa,apache junction,central az coll - apache junct,az,85119,8/23/2017
257,usa,st louis,univ of missouri-st louis,mo,63121,8/23/2017
258,usa,corning,corning cmty coll,ny,14830-3297,8/23/2017
259,usa,visalia,college of the sequoias,ca,93277,8/23/2017
260,usa,providence,rhode island college,ri,2908,8/23/2017
261,usa,austin,austin c c - highland bus ctr,tx,78752,8/23/2017
262,usa,cicero,morton college,il,60804-4300,8/23/2017
263,usa,minot,minot state university,nd,58707-0001,8/23/2017
264,usa,lawrence,university of kansas,ks,66045,8/23/2017
265,usa,jacksonville,university of north florida,fl,32224-7699,8/23/2017
266,usa,saint louis,st louis cc - forest park,mo,63110-1316,8/23/2017
267,usa,greenwood,piedmont technical college,sc,29648-1467,8/23/2017
268,usa,elgin,elgin community college,il,60123-7189,8/23/2017
269,usa,greenville,greenville technical coll,sc,29607-2418,8/23/2017
270,usa,ada,east central university,ok,74820,8/23/2017
271,usa,mississippi stat,mississippi state univ,ms,39762,8/23/2017
272,usa,lafayette,ivy tech comm coll - lafayette,in,47905-5241,8/23/2017
273,usa,lake city,florida gateway college,fl,32025-2006,8/23/2017
274,usa,rocky mount,nash community college,nc,27804-9708,8/23/2017
275,usa,charleston,charleston southern univ,sc,29406-9121,8/23/2017
276,usa,belleville,southwestern illinois college,il,62221-5859,8/23/2017
277,usa,mesa,mesa community college,az,85202,8/23/2017
278,usa,westminster,front range c c - westminster,co,80031,8/23/2017
279,usa,dahlonega,univ of n georgia -dahlonega,ga,30597,8/23/2017
280,usa,lake charles,mcneese state university,la,70609-0001,8/23/2017
281,usa,north little rock,pulaski technical college,ar,72118-3347,8/23/2017
282,usa,crystal lake,mchenry county college,il,60012-2738,8/23/2017
283,usa,joplin,ozark christian college,mo,64801,8/23/2017
284,usa,gaffney,limestone college gaffney,sc,29340-3778,8/23/2017
285,usa,fredonia,state univ coll at fredonia,ny,14063-1127,8/23/2017
286,usa,vermillion,university of south dakota,sd,57069-2307,8/23/2017
287,usa,beaufort,tech coll of the low ctry,sc,29902-5441,8/23/2017
288,usa,saint petersburg,univ of south florida st petersburg,fl,33701-5016,8/23/2017
289,usa,scooba,east mississippi comm coll,ms,39358,8/23/2017
290,usa,cocoa,eastern fl st coll - cocoa,fl,32922-6598,8/23/2017
291,usa,new york,city college of cuny,ny,10031-9101,8/23/2017
292,usa,kearney,u of nebraska-kearney,ne,68849-0001,8/23/2017
293,usa,duluth,lake superior college,mn,55811-3349,8/23/2017
294,usa,wesley chapel,pasco hernando st coll - porter,fl,33543,8/23/2017
295,usa,san jacinto,mount san jacinto college,ca,92583,8/23/2017
296,usa,salisbury,rowan cabarrus comm coll,nc,28146-8357,8/23/2017
297,usa,charleston,college of charleston,sc,29424-0001,8/23/2017
298,usa,milledgeville,georgia coll &amp; state univ,ga,31061,8/23/2017
299,usa,columbus,capital university,oh,43209,8/23/2017
300,usa,meridian,meridian cc,ms,39307-5801,8/23/2017
301,usa,albany,albany state university,ga,31705-2717,8/23/2017
302,usa,chicago,depaul university,il,60614-3282,8/23/2017
303,usa,san marcos,texas state univ - san marcos,tx,78666,8/23/2017
304,usa,wildwood,st louis comm coll - wildwood,mo,63040-1168,8/23/2017
305,usa,galesburg,carl sandburg coll-galesburg,il,61401-9574,8/23/2017
306,usa,senatobia,northwest miss comm coll,ms,38668-1714,8/23/2017
307,usa,fort wayne,in univ-purdue univ - ft wayne,in,46805,8/23/2017
308,usa,augusta,georgia regents univ,ga,30904-4562,8/23/2017
309,usa,albuquerque,univ of new mexico sch med,nm,87131,8/23/2017
310,usa,spruce pine,mayland community college,nc,28777-8434,8/23/2017
311,usa,tarpon springs,st petersburg  coll-tarpon spg,fl,34689-1299,8/23/2017
312,usa,fredericksburg,university of mary washington,va,22401-5300,8/23/2017
313,usa,iowa city,university of iowa,ia,52242,8/23/2017
314,usa,booneville,northeast miss cc,ms,38829-1726,8/23/2017
315,usa,fargo,north dakota st university,nd,58102,8/23/2017
316,usa,high point,high point university,nc,27262-4221,8/23/2017
317,usa,hilo,univ of hawaii at hilo,hi,967204091,8/23/2017
318,usa,aurora,metropolitan st univ of denver,co,80014,8/23/2017
319,usa,tupelo,itawamba cc-tupelo,ms,38804-5981,8/23/2017
320,usa,oceanside,mira costa college,ca,92056,8/23/2017
321,usa,san diego,san diego miramar college,ca,92126,8/23/2017
322,usa,pembroke,univ of nc - pembroke,nc,28372,8/23/2017
323,usa,richland,wsu - tri cities,wa,99354-1671,8/23/2017
324,usa,kutztown,kutztown university,pa,19530,8/23/2017
325,usa,council bluffs,iowa wstn cc-council bluffs,ia,51503-1057,8/23/2017
326,usa,wilmington,univ of nc - wilmington,nc,28403-3201,8/23/2017
327,usa,hampden sydney,hampden-sydney college,va,23943,8/23/2017
328,usa,fort smith,ua fort smith,ar,72904,8/23/2017
329,usa,charleston,trident tech - palmer,sc,29403-5637,8/23/2017
330,usa,morgantown,west virginia university,wv,26506,8/23/2017
331,usa,lakeland,polk state coll - lakeland,fl,33803,8/23/2017
332,usa,east peoria,illinois central college,il,61635-0001,8/23/2017
333,usa,north las vegas,coll of s nv - cheyenne,nv,89030,8/23/2017
334,usa,winchester,shenandoah university,va,22601-5100,8/23/2017
335,usa,dover,del tech &amp; cc - dover,de,19904-1383,8/23/2017
336,usa,dickinson,dickinson state univ,nd,58601-4853,8/23/2017
337,usa,st leo,saint leo university,fl,33574,8/23/2017
338,usa,carbondale,so illinois univ-carbondale,il,62901,8/23/2017
339,usa,columbus,ohio state univ - main,oh,43210,8/23/2017
340,usa,weatherford,southwestern okla state unv,ok,73096,8/23/2017
341,usa,los lunas,unm-valencia,nm,87031,8/23/2017
342,usa,south bend,indiana univ - south bend,in,46615-1408,8/23/2017
343,usa,fort collins,colorado st univ - ft collins,co,80523,8/23/2017
344,usa,springfield,lincoln land cmty college,il,62794-9256,8/23/2017
345,usa,crookston,university of minnesota - crookston,mn,56716-5000,8/23/2017
346,usa,hays,fort hays state university,ks,67601-4009,8/23/2017
347,usa,tallahassee,tallahassee community colle,fl,32304-2815,8/23/2017
348,usa,farmville,longwood university,va,23909,8/23/2017
349,usa,tampa,hillsborough cmty coll dm,fl,33614-7810,8/23/2017
350,usa,arlington,univ of texas - arlington,tx,76019,8/23/2017
351,usa,aurora,community coll of aurora,co,80011,8/23/2017
352,usa,dayton,sinclair community college,oh,45402-1421,8/23/2017
353,usa,atlanta,atlanta metro college,ga,30310-4448,8/23/2017
354,usa,naples,southwest florida college,fl,33962,8/23/2017
355,usa,lawrenceburg,ivy tech comm coll - lawrenceb,in,47025,8/23/2017
356,usa,gary,indiana univ northwest,in,46408-1101,8/23/2017
357,usa,hartford,connecticut state colleges & universities,ct,6105,8/23/2017
358,usa,palatka,st johns river st coll - palatka,fl,32177-3807,8/23/2017
359,usa,grand forks,university of north dakota,nd,58202,8/23/2017
360,usa,overland park,johnson county cmty college,ks,66210,8/23/2017
361,usa,middletown,lord fairfax cc - middletown,va,22645-1745,8/23/2017
362,usa,athens,ohio university - athens,oh,45701,8/23/2017
363,usa,savannah,savannah state university,ga,31404-5254,8/23/2017
364,usa,san jose,san jose state university,ca,95192,8/23/2017
365,usa,detroit,wayne state university,mi,48202,8/23/2017
366,usa,bettendorf,scott comm coll,ia,52722-5649,8/23/2017
367,usa,rochester,rochester comm &amp; tech coll,mn,55904-4915,8/23/2017
368,usa,laredo,texas a&amp;m international u,tx,78041,8/23/2017
369,usa,new albany,indiana univ-southeast cmp,in,47150-2158,8/23/2017
370,usa,knoxville,university of tennessee,tn,37996-0341,8/23/2017
371,usa,smithfield,johnston community college,nc,27577-2350,8/23/2017
372,usa,denton,texas womans university,tx,76204,8/23/2017
373,usa,yuma,arizona western college,az,85365,8/23/2017
374,usa,arcata,humboldt state university,ca,95521,8/23/2017
375,usa,west columbia,midlands tech c-airport,sc,29170-2176,8/23/2017
376,usa,adrian,adrian college,mi,49221-2518,8/23/2017
377,usa,mc kenzie,bethel univ - mckenzie,tn,38201-1769,8/23/2017
378,usa,oglesby,ill valley comm coll,il,61348-9692,8/23/2017
379,usa,philadelphia,la salle university,pa,19141-1108,8/23/2017
380,usa,pleasanton,chabot-las positas cc,ca,94588,8/23/2017
381,usa,nelsonville,hocking college,oh,45764-9582,8/23/2017
382,usa,shalimar,univ of florida-gainesville,fl,32579-1163,8/23/2017
383,usa,palos hills,moraine valley cmty coll,il,60465-1444,8/23/2017
384,usa,fredericksburg,germanna comm coll,va,22408,8/23/2017
385,usa,newark,del tech stanton/newark,de,19713-2111,8/23/2017
386,usa,las vegas,new mexico highlands univ,nm,87701,8/23/2017
387,usa,white bear lake,century comm tech college,mn,55110-1842,8/23/2017
388,usa,richmond,indiana univ east,in,47374-1220,8/23/2017
389,usa,roswell,eastern nm univ - roswell,nm,88201,8/23/2017
390,usa,salt lake city,salt lake community college,ut,84123,8/23/2017
391,usa,perrysburg,owens community college,oh,43551,8/23/2017
392,usa,joliet,joliet junior college,il,60431-8938,8/23/2017
393,usa,tucson,pima cc - comm campus,az,857096000,8/23/2017
394,usa,universal city,accd - ne lakeview campus,tx,78148,8/23/2017
395,usa,lancaster,univ of sc - lancaster,sc,29720-5615,8/23/2017
396,usa,morganton,western piedmont cc,nc,28655-4504,8/23/2017
397,usa,tuscaloosa,shelton state cc,al,35405-8522,8/23/2017
398,usa,monterey park,east los angeles coll - mp,ca,91754,2/10/2015
399,usa,worcester,worcester state university,ma,01602-2861,2/10/2015
400,usa,boulder,univ of colorado boulder,co,80309,2/10/2015
401,usa,pasadena,pasadena city college,ca,91106,2/10/2015
402,usa,toledo,university of toledo,oh,43606-3328,2/10/2015
403,usa,edison,middlesex cnty coll-edison,nj,8818,2/10/2015
404,usa,bronx,bronx community college,ny,10453-2804,2/10/2015
405,usa,beeville,coastal bend college,tx,78102,2/10/2015
406,usa,tulsa,tulsa comm coll se,ok,74133,2/10/2015
407,usa,college station,texas a&amp;m univ - college stn,tx,77843,2/10/2015
408,usa,college park,univ maryland college park,md,20742,2/10/2015
409,usa,huntington beach,golden west college,ca,92647,2/10/2015
410,usa,warwick,cmty coll of r i-warwick,ri,02886-1805,2/10/2015
411,usa,palm desert,college of the desert,ca,92260,2/10/2015
412,usa,rochester,rochester inst of tech,ny,14623-5603,2/10/2015
413,usa,valencia,college of the canyons,ca,91355,2/10/2015
