instituion_city,institution_name,institution_state,institution_zipcode,transaction_date
denton,texas womans university,tx,76204,8/23/2017
yuma,arizona western college,az,85365,8/23/2017
arcata,humboldt state university,ca,95521,8/23/2017
west columbia,midlands tech c-airport,sc,29170-2176,8/23/2017
adrian,adrian college,mi,49221-2518,8/23/2017
mc kenzie,bethel univ - mckenzie,tn,38201-1769,8/23/2017
oglesby,ill valley comm coll,il,61348-9692,8/23/2017
philadelphia,la salle university,pa,19141-1108,8/23/2017
pleasanton,chabot-las positas cc,ca,94588,8/23/2017
nelsonville,hocking college,oh,45764-9582,8/23/2017
shalimar,univ of florida-gainesville,fl,32579-1163,8/23/2017
palos hills,moraine valley cmty coll,il,60465-1444,8/23/2017
fredericksburg,germanna comm coll,va,22408,8/23/2017
newark,del tech stanton/newark,de,19713-2111,8/23/2017
las vegas,new mexico highlands univ,nm,87701,8/23/2017
white bear lake,century comm tech college,mn,55110-1842,8/23/2017
richmond,indiana univ east,in,47374-1220,8/23/2017
roswell,eastern nm univ - roswell,nm,88201,8/23/2017
salt lake city,salt lake community college,ut,84123,8/23/2017
perrysburg,owens community college,oh,43551,8/23/2017
joliet,joliet junior college,il,60431-8938,8/23/2017
tucson,pima cc - comm campus,az,857096000,8/23/2017
universal city,accd - ne lakeview campus,tx,78148,8/23/2017
lancaster,univ of sc - lancaster,sc,29720-5615,8/23/2017
morganton,western piedmont cc,nc,28655-4504,8/23/2017
tuscaloosa,shelton state cc,al,35405-8522,8/23/2017
monterey park,east los angeles coll - mp,ca,91754,2/10/2015
worcester,worcester state university,ma,01602-2861,2/10/2015
boulder,univ of colorado boulder,co,80309,2/10/2015
pasadena,pasadena city college,ca,91106,2/10/2015
toledo,university of toledo,oh,43606-3328,2/10/2015
edison,middlesex cnty coll-edison,nj,8818,2/10/2015
bronx,bronx community college,ny,10453-2804,2/10/2015
beeville,coastal bend college,tx,78102,2/10/2015
tulsa,tulsa comm coll se,ok,74133,2/10/2015
college station,texas a & m univ - college stn,tx,77843,2/10/2015
college park,univ maryland college park,md,20742,2/10/2015
huntington beach,golden west college,ca,92647,2/10/2015
warwick,cmty coll of r i-warwick,ri,02886-1805,2/10/2015
palm desert,college of the desert,ca,92260,2/10/2015
rochester,rochester inst of tech,ny,14623-5603,2/10/2015
valencia,college of the canyons,ca,91355,2/10/2015
rockville,montgomery coll-rockville,md,20855-2811,2/10/2015
york,hacc york,pa,17404,2/10/2015
houston,univ of houston-downtown,tx,77002,2/10/2015
austin,univ of texas - austin,tx,78712,2/10/2015
baltimore,maryland inst coll of art,md,21217-4134,2/10/2015
saint petersburg,st petersburg coll-st pete/gib,fl,33710-6801,2/10/2015
san diego,san diego state university,ca,92182,2/10/2015
san diego,san diego mesa college,ca,92111,2/11/2015
irvine,irvine valley college,ca,92618,2/11/2015
menifee,mt san jacinto coll - menifee,ca,92584,2/11/2015
san marcos,palomar college,ca,92069,2/11/2015
new york,new york university,ny,10012,2/11/2015
oregon city,clackamas community college,or,97045,2/11/2015
baltimore,university of maryland-baltimore cty,md,21250-0001,2/11/2015
alice,coastal bend coll/alice cmp,tx,78332,2/11/2015
portsmouth,tidewater cc-portsmouth,va,23701,2/11/2015
flagstaff,northern arizona university,az,86011,2/11/2015
holyoke,holyoke comm coll,ma,01040-1091,2/11/2015
paramus,bergen community college,nj,07652-1508,2/11/2015
nashville,lipscomb university,tn,37204,2/11/2015
trinidad,trinidad state jr college,co,81082,2/11/2015
millersville,millersville university,pa,17551,2/11/2015
indianapolis,ivy tech comm coll - central,in,46208-5752,2/11/2015
burlington,univ of vermont,vt,05405-0001,2/11/2015
lynnwood,edmonds cmty coll-lynnwood,wa,98036,2/11/2015
teaneck,fdu teaneck,nj,7666,2/11/2015
carrollton,univ of west ga - carrollton,ga,30118-0001,2/11/2015
des plaines,oakton community college,il,60016-1234,2/11/2015
reedley,reedley clg,ca,93654,2/11/2015
sweet briar,sweet briar college,va,24595-5001,2/11/2015
ypsilanti,eastern michigan univ,mi,48197,2/11/2015
terre haute,indiana state university,in,47809-1902,2/11/2015
saint petersburg,eckerd college,fl,33711-4744,2/11/2015
albany,university at albany,ny,12222-0001,2/11/2015
cincinnati,xavier university,oh,45207-1035,2/11/2015
spearfish,black hills state univ,sd,57799-8840,2/11/2015
tucson,pima comm coll/desert vista,az,857096000,2/11/2015
dearborn,univ of michigan-dearborn,mi,48128-2406,2/11/2015
casper,university of wyoming,wy,82601,2/11/2015
dekalb,northern illinois univ,il,60115,2/11/2015
norfolk,tidewater comm coll/norfolk,va,23510-1910,2/11/2015
valley glen,los angeles valley college,ca,914014096,2/11/2015
worcester,clark university,ma,1610,2/11/2015
cheney,eastern washington univ,wa,99004,2/12/2015
avon park,south florida state coll,fl,33825,2/12/2015
west barnstable,cape cod comm coll,ma,02668-1532,2/12/2015
russellville,arkansas tech university,ar,72801,2/12/2015
chesapeake,tidewater cc-chesapeake,va,23322-7108,2/12/2015
irving,univ of dallas,tx,75062,2/12/2015
norfolk,george washington univ,va,23502,2/12/2015
glendale,arizona state univ - west,az,85306-4908,2/12/2015
poughkeepsie,marist college,ny,12601-1350,2/12/2015
kalamazoo,western michigan univ,mi,49008,2/12/2015
delhi,suny - delhi,ny,13753,2/12/2015
schuylkill haven,penn state u schuylkill,pa,17972-2202,2/12/2015
marion,marion technical college,oh,43302,2/12/2015
cedar city,southern utah university,ut,84720,2/12/2015
oakland,laney college,ca,94607,2/12/2015
long beach,long beach city college - a,ca,90808,2/12/2015
clarinda,iowa western cc-clarinda,ia,51632,2/12/2015
honolulu,hawaii pacific university,hi,96813,2/12/2015
milwaukee,univ of wisconsin - milwaukee,wi,53211,2/12/2015
torrance,el camino college,ca,90506,2/13/2015
chicago,univ of illinois at chicago,il,60607-7100,2/13/2015
new orleans,university of new orleans,la,70148-0001,2/13/2015
malta,kishwaukee community coll,il,60150,2/13/2015
honolulu,chaminade university,hi,96816,2/13/2015
new york,cuny hunter college,ny,10021,2/13/2015
canton,walsh university,oh,44720-3336,2/13/2015
commerce,texas a & m univ - commerce,tx,75428,2/13/2015
blacksburg,virginia tech,va,24061,2/13/2015
denver,community college of denver,co,80204,2/14/2015
kingsville,coastal bend college-kingsvill,tx,78363,2/14/2015
seminole,st petersburg coll - seminole,fl,33772-2800,2/14/2015
hayward,chabot college,ca,94545,2/15/2015
watertown,jefferson community college,ny,13601-1822,2/15/2015
university center,saginaw valley state univ,mi,48710-0001,2/15/2015
louisville,kctcs-jefferson-downtown,ky,40202-2005,2/16/2015
logan,utah state university,ut,84322,2/16/2015
battle creek,kellogg community college,mi,49017-3306,2/16/2015
saddle river,prentice hall university,nj,07458-1813,2/16/2015
portland,portland cc-cascade,or,97217,2/16/2015
tallahassee,florida state university,fl,32306,2/16/2015
glendale,glendale community college,ca,91208,2/16/2015
sioux falls,university of sioux falls,sd,57105,2/17/2015
montclair,montclair state university,nj,07043-1624,2/17/2015
bellingham,western washington univ,wa,98225,2/17/2015
columbus,columbus state university,ga,31907-5679,2/17/2015
valhalla,westchester cmty college,ny,10595-1550,2/17/2015
bristol,roger williams university,ri,02809-2923,2/17/2015
orange,chapman univ-orange,ca,92866,2/17/2015
tallahassee,florida agric & mech univ,fl,32307,2/17/2015
las vegas,univ of nevada las vegas,nv,89154,2/18/2015
bellevue,bellevue university,ne,68005-3058,2/18/2015
norfolk,old dominion university,va,23529-0001,2/19/2015
big rapids,ferris state university,mi,49307-2251,2/19/2015
riverside,riverside city college,ca,92506,2/19/2015
memphis,university of memphis,tn,38152-0001,2/19/2015
medford,delta college,or,97504,2/19/2015
portland,portland cmty coll sylvania,or,97219,2/19/2015
norco,norco college,ca,92860-2600,2/19/2015
los angeles,los angeles city college,ca,90029,2/19/2015
wheeling,wheeling jesuit university,wv,26003,2/20/2015
boaz,snead state comm college,al,35957-1650,2/20/2015
