ID,ISO,Name,NEWISO,NEWNAME,ISOCOLONY,COLONYNAME,SIDE1,SIDE2
137,DEU,Schweinfurt Städte,DEU,Schweinfurt Städte,DEU,,,
138,DEU,Schweinfurt,DEU,Schweinfurt,DEU,,,
139,DEU,Würzburg Städte,DEU,Würzburg Städte,DEU,,,
140,DEU,Würzburg,DEU,Würzburg,DEU,,,
141,DEU,Berlin,DEU,Berlin,DEU,,,
142,DEU,Barnim,DEU,Barnim,DEU,,,
143,DEU,Brandenburg an der Havel Städte,DEU,Brandenburg an der Havel Städte,DEU,,,
144,DEU,Cottbus Städte,DEU,Cottbus Städte,DEU,,,
145,DEU,Dahme-Spreewald,DEU,Dahme-Spreewald,DEU,,,
146,DEU,Elbe-Elster,DEU,Elbe-Elster,DEU,,,
147,DEU,Frankfurt am Oder Städte,DEU,Frankfurt am Oder Städte,DEU,,,
148,DEU,Havelland,DEU,Havelland,DEU,,,
149,DEU,Märkisch-Oderland,DEU,Märkisch-Oderland,DEU,,,
150,DEU,Oberhavel,DEU,Oberhavel,DEU,,,
151,DEU,Oberspreewald-Lausitz,DEU,Oberspreewald-Lausitz,DEU,,,
152,DEU,Oder-Spree,DEU,Oder-Spree,DEU,,,
153,DEU,Ostprignitz-Ruppin,DEU,Ostprignitz-Ruppin,DEU,,,
154,DEU,Potsdam-Mittelmark,DEU,Potsdam-Mittelmark,DEU,,,
155,DEU,Potsdam Städte,DEU,Potsdam Städte,DEU,,,
156,DEU,Prignitz,DEU,Prignitz,DEU,,,
157,DEU,Spree-Neiße,DEU,Spree-Neiße,DEU,,,
158,DEU,Teltow-Fläming,DEU,Teltow-Fläming,DEU,,,
159,DEU,Uckermark,DEU,Uckermark,DEU,,,
160,DEU,Bremen Städte,DEU,Bremen Städte,DEU,,,
161,DEU,Bremerhaven,DEU,Bremerhaven,DEU,,,
162,DEU,Hamburg Städte,DEU,Hamburg Städte,DEU,,,
163,DEU,Bergstraße,DEU,Bergstraße,DEU,,,
164,DEU,Darmstadt-Dieburg,DEU,Darmstadt-Dieburg,DEU,,,
165,DEU,Darmstadt Städte,DEU,Darmstadt Städte,DEU,,,
166,DEU,Frankfurt am Main Städte,DEU,Frankfurt am Main Städte,DEU,,,
167,DEU,Groß-Gerau,DEU,Groß-Gerau,DEU,,,
168,DEU,Hochtaunuskreis,DEU,Hochtaunuskreis,DEU,,,
169,DEU,Main-Kinzig-Kreis,DEU,Main-Kinzig-Kreis,DEU,,,
170,DEU,Main-Taunus-Kreis Städte,DEU,Main-Taunus-Kreis Städte,DEU,,,
171,DEU,Odenwaldkreis,DEU,Odenwaldkreis,DEU,,,
172,DEU,Offenbach am Main Städte,DEU,Offenbach am Main Städte,DEU,,,
173,DEU,Offenbach,DEU,Offenbach,DEU,,,
174,DEU,Rheingau-Taunus-Kreis,DEU,Rheingau-Taunus-Kreis,DEU,,,
175,DEU,Wetteraukreis,DEU,Wetteraukreis,DEU,,,
176,DEU,Wiesbaden Städte,DEU,Wiesbaden Städte,DEU,,,
177,DEU,Gießen,DEU,Gießen,DEU,,,
178,DEU,Lahn-Dill-Kreis,DEU,Lahn-Dill-Kreis,DEU,,,
179,DEU,Limburg-Weilburg,DEU,Limburg-Weilburg,DEU,,,
180,DEU,Marburg-Biedenkopf,DEU,Marburg-Biedenkopf,DEU,,,
181,DEU,Vogelsbergkreis,DEU,Vogelsbergkreis,DEU,,,
182,DEU,Fulda,DEU,Fulda,DEU,,,
183,DEU,Hersfeld-Rotenburg,DEU,Hersfeld-Rotenburg,DEU,,,
184,DEU,Kassel Städte,DEU,Kassel Städte,DEU,,,
185,DEU,Kassel,DEU,Kassel,DEU,,,
186,DEU,Schwalm-Eder-Kreis,DEU,Schwalm-Eder-Kreis,DEU,,,
187,DEU,Waldeck-Frankenberg,DEU,Waldeck-Frankenberg,DEU,,,
188,DEU,Werra-Meißner-Kreis,DEU,Werra-Meißner-Kreis,DEU,,,
189,DEU,Bad Doberan,DEU,Bad Doberan,DEU,,,
190,DEU,Demmin,DEU,Demmin,DEU,,,
191,DEU,Güstrow,DEU,Güstrow,DEU,,,
192,DEU,Greifswald Städte,DEU,Greifswald Städte,DEU,,,
193,DEU,Ludwigslust,DEU,Ludwigslust,DEU,,,
194,DEU,Müritz,DEU,Müritz,DEU,,,
195,DEU,Mecklenburg-Strelitz,DEU,Mecklenburg-Strelitz,DEU,,,
196,DEU,Neubrandenburg Städte,DEU,Neubrandenburg Städte,DEU,,,
197,DEU,Nordvorpommern,DEU,Nordvorpommern,DEU,,,
198,DEU,Nordwestmecklenburg,DEU,Nordwestmecklenburg,DEU,,,
199,DEU,Ostvorpommern,DEU,Ostvorpommern,DEU,,,
200,DEU,Parchim,DEU,Parchim,DEU,,,
201,DEU,Rügen,DEU,Rügen,DEU,,,
202,DEU,Rostock Städte,DEU,Rostock Städte,DEU,,,
203,DEU,Schwerin Städte,DEU,Schwerin Städte,DEU,,,
204,DEU,Stralsund Städte,DEU,Stralsund Städte,DEU,,,
205,DEU,Uecker-Randow,DEU,Uecker-Randow,DEU,,,
206,DEU,Wismar Städte,DEU,Wismar Städte,DEU,,,
207,DEU,Braunschweig Städte,DEU,Braunschweig Städte,DEU,,,
208,DEU,Göttingen,DEU,Göttingen,DEU,,,
209,DEU,Gifhorn,DEU,Gifhorn,DEU,,,
210,DEU,Goslar,DEU,Goslar,DEU,,,
211,DEU,Helmstedt,DEU,Helmstedt,DEU,,,
212,DEU,Northeim,DEU,Northeim,DEU,,,
213,DEU,Osterode,DEU,Osterode,DEU,,,
214,DEU,Peine,DEU,Peine,DEU,,,
215,DEU,Salzgitter Städte,DEU,Salzgitter Städte,DEU,,,
216,DEU,Wolfenbüttel,DEU,Wolfenbüttel,DEU,,,
217,DEU,Wolfsburg Städte,DEU,Wolfsburg Städte,DEU,,,
218,DEU,Diepholz,DEU,Diepholz,DEU,,,
219,DEU,Hamelin-Pyrmont,DEU,Hamelin-Pyrmont,DEU,,,
220,DEU,Hanover,DEU,Hanover,DEU,,,
221,DEU,Hildesheim,DEU,Hildesheim,DEU,,,
222,DEU,Holzminden,DEU,Holzminden,DEU,,,
223,DEU,Nienburg,DEU,Nienburg,DEU,,,
224,DEU,Schaumburg,DEU,Schaumburg,DEU,,,
225,DEU,Celle,DEU,Celle,DEU,,,
226,DEU,Cuxhaven,DEU,Cuxhaven,DEU,,,
227,DEU,Harburg,DEU,Harburg,DEU,,,
228,DEU,Osterholz,DEU,Osterholz,DEU,,,
229,DEU,Rotenburg,DEU,Rotenburg,DEU,,,
230,DEU,Soltau-Fallingbostel,DEU,Soltau-Fallingbostel,DEU,,,
231,DEU,Stade,DEU,Stade,DEU,,,
232,DEU,Verden,DEU,Verden,DEU,,,
233,DEU,Lüchow-Dannenberg,DEU,Lüchow-Dannenberg,DEU,,,
234,DEU,Lüneburg,DEU,Lüneburg,DEU,,,
235,DEU,Uelzen,DEU,Uelzen,DEU,,,
236,DEU,Ammerland,DEU,Ammerland,DEU,,,
237,DEU,Aurich,DEU,Aurich,DEU,,,
238,DEU,Cloppenburg,DEU,Cloppenburg,DEU,,,
239,DEU,Emden Städte,DEU,Emden Städte,DEU,,,
240,DEU,Emsland,DEU,Emsland,DEU,,,
241,DEU,Friesland,DEU,Friesland,DEU,,,
242,DEU,Grafschaft Bentheim,DEU,Grafschaft Bentheim,DEU,,,
243,DEU,Leer,DEU,Leer,DEU,,,
244,DEU,Oldenburg Städte,DEU,Oldenburg Städte,DEU,,,
245,DEU,Oldenburg,DEU,Oldenburg,DEU,,,
246,DEU,Osnabrück Städte,DEU,Osnabrück Städte,DEU,,,
247,DEU,Osnabrück,DEU,Osnabrück,DEU,,,
248,DEU,Vechta,DEU,Vechta,DEU,,,
249,DEU,Wesermarsch,DEU,Wesermarsch,DEU,,,
250,DEU,Wilhelmshaven Städte,DEU,Wilhelmshaven Städte,DEU,,,
251,DEU,Wittmund,DEU,Wittmund,DEU,,,
252,DEU,Bochum Städte,DEU,Bochum Städte,DEU,,,
253,DEU,Dortmund Städte,DEU,Dortmund Städte,DEU,,,
254,DEU,Ennepe-Ruhr,DEU,Ennepe-Ruhr,DEU,,,
255,DEU,Hagen Städte,DEU,Hagen Städte,DEU,,,
256,DEU,Hamm Städte,DEU,Hamm Städte,DEU,,,
257,DEU,Herne Städte,DEU,Herne Städte,DEU,,,
258,DEU,Hochsauerlandkreis,DEU,Hochsauerlandkreis,DEU,,,
259,DEU,Märkischer Kreis,DEU,Märkischer Kreis,DEU,,,
260,DEU,Olpe,DEU,Olpe,DEU,,,
261,DEU,Siegen-Wittgenstein,DEU,Siegen-Wittgenstein,DEU,,,
262,DEU,Soest,DEU,Soest,DEU,,,
263,DEU,Unna,DEU,Unna,DEU,,,
264,DEU,Cleves,DEU,Cleves,DEU,,,
265,DEU,Düsseldorf Städte,DEU,Düsseldorf Städte,DEU,,,
266,DEU,Duisburg Städte,DEU,Duisburg Städte,DEU,,,
267,DEU,Essen Städte,DEU,Essen Städte,DEU,,,
268,DEU,Krefeld Städte,DEU,Krefeld Städte,DEU,,,
269,DEU,Mönchengladbach Städte,DEU,Mönchengladbach Städte,DEU,,,
270,DEU,Mülheim Städte,DEU,Mülheim Städte,DEU,,,
